id,fen,plies
KRNNKR,8/8/8/1N6/8/6r1/NR6/k6K w - - ,83
KRNNKQ,6R1/8/8/8/7q/1K6/8/2k1N1N1 w - - ,65
KQQNNK,8/8/8/8/8/8/4NN2/k3KQQ1 w - - ,7
KQNNKN,N7/8/1Q6/8/8/8/3nN3/1K1k4 w - - ,25
KQNNKB,7K/8/8/8/8/1NbN4/2k5/Q7 w - - ,33
KQNNKR,8/8/4N3/8/5rK1/1Q6/7N/k7 w - - ,77
KQNNKQ,2q5/8/7N/K7/8/7N/Q7/2k5 w - - ,147
KNNKNN,7n/8/8/8/2N5/8/4N3/knK5 w - - ,17
KNNKBN,7n/8/8/4b3/2N5/K7/N7/1k6 w - - ,19
KNNKRN,8/8/8/4r3/3N4/8/8/kNK4n w - - ,13
KNNKQN,7n/8/8/8/2N5/1q6/8/k1NK4 w - - ,13
KNNKBB,8/8/8/8/1N6/8/1b6/k1NK2b1 w - - ,7
KNNKRB,8/8/8/8/1N6/1r6/1b6/1k1K1N2 w - - ,9
KNNKQB,8/8/8/8/1N6/1q6/1b6/k1NK4 w - - ,7
KNNKRR,8/8/8/8/3N4/r7/2r5/k1K1N3 w - - ,5
KNNKQR,8/8/8/8/3N4/r7/2q5/k1K1N3 w - - ,5
KNNKQQ,8/8/8/8/8/8/qNq5/k1K1N3 w - - ,1
KBBBNK,8/8/8/8/8/1BK5/1N6/BBk5 w - - ,43
KRBBNK,7K/8/8/8/8/B7/RN6/Bk6 w - - ,37
KQBBNK,8/8/8/8/1B6/Q1K5/1B6/Nk6 w - - ,13
KBBNKN,8/8/8/8/8/8/BN4B1/k3nK2 w - - ,215
KBBNKB,2B5/7K/8/7b/8/2k5/3N4/3B4 w - - ,105
KBBNKR,N7/1r4B1/8/8/8/7B/8/K1k5 w - - ,169
KBBNKQ,3q4/8/2B5/2B5/8/8/4N3/k1K5 w - - ,77
KRRBNK,7K/8/8/8/2R5/2Nk4/2R5/2B5 w - - ,19
KQRBNK,8/8/8/8/8/8/B5NR/k5KQ w - - ,9
KRBNKN,8/8/8/8/5R2/1B5n/8/k2N2K1 w - - ,213
KRBNKB,8/8/8/R7/Nb6/8/3K4/k5B1 w - - ,77
KRBNKR,8/3K4/8/6r1/8/8/4R3/N2k2B1 w - - ,135
KRBNKQ,R3B3/8/8/1N6/8/3K4/8/1k4q1 w - - ,241
KQQBNK,8/8/8/8/8/2N3QQ/8/kBK5 w - - ,7
KQBNKN,8/8/8/8/5Q2/1B5n/8/k2N2K1 w - - ,213
KQBNKB,8/Q7/3B4/8/3K4/8/4Nb2/1k6 w - - ,77
KQBNKR,8/8/8/3B4/8/2N5/Q7/2k2rK1 w - - ,87
KQBNKQ,8/8/2K5/8/8/1Q1B4/8/2kN3q w - - ,167
